1,0001,Don Quixote,Miguel de Cervantes
1,0002,Alice's Adventures in Wonderland,Lewis Carroll
1,0003,The Adventures of Huckleberry Finn,Mark Twain
1,0004,The Adventures of Tom Sawyer,Mark Twain
1,0005,Treasure Island,Robert Louis Stevenson
0,0006,Pride and Prejudice,Jane Austen
1,0007,Wuthering Heights,Emily Brontë
1,0008,Jane Eyre,Charlotte Brontë
0,0009,Moby Dick,Herman Melville
1,0010,The Scarlet Letter,Nathaniel Hawthorne
1,0011,Gulliver's Travels,Jonathan Swift
1,0012,The Pilgrim's Progress,John Bunyan
1,0013,A Christmas Carol,Charles Dickens
0,0014,David Copperfield,Charles Dickens
0,0015,A Tale of Two Cities,Charles Dickens
0,0016,Little Women,Louisa May Alcott
1,0017,Great Expectations,Charles Dickens
1,0018,"The Hobbit, or, There and Back Again",J.R.R. Tolkien
1,0019,"Frankenstein, or, the Modern Prometheus",Mary Shelley
1,0020,Oliver Twist,Charles Dickens
1,0021,Uncle Tom's Cabin,Harriet Beecher Stowe
1,0022,Crime and Punishment,Fyodor Dostoyevsky
1,0023,Madame Bovary: Patterns of Provincial life,Gustave Flaubert
1,0024,The Return of the King,J.R.R. Tolkien
1,0025,Dracula,Bram Stoker
0,0026,The Three Musketeers,Alexandre Dumas
1,0027,Brave New World,Aldous Huxley
1,0028,War and Peace,Leo Tolstoy
0,0029,To Kill a Mockingbird,Harper Lee
1,0030,The Wizard of Oz,L. Frank Baum
1,0031,Les Misérables,Victor Hugo
1,0032,The Secret Garden,Frances Hodgson Burnett
1,0033,Animal Farm,George Orwell
0,0034,The Great Gatsby,F. Scott Fitzgerald
0,0035,The Little Prince,Antoine de Saint-Exupéry
0,0036,The Call of the Wild,Jack London
1,0037,"20,000 Leagues Under the Sea",Jules Verne
1,0038,Anna Karenina,Leo Tolstoy
1,0039,The Wind in the Willows,Kenneth Grahame
1,0040,The Picture of Dorian Gray,Oscar Wilde
1,0041,The Grapes of Wrath,John Steinbeck
1,0042,Sense and Sensibility,Jane Austen
1,0043,The Last of the Mohicans,James Fenimore Cooper
1,0044,Tess of the d'Urbervilles,Thomas Hardy
1,0045,Harry Potter and the Sorcerer's Stone,J.K. Rowling
0,0046,Heidi,Johanna Spyri
1,0047,Ulysses,James Joyce
1,0048,The Complete Sherlock Holmes,Arthur Conan Doyle
0,0049,The Count of Monte Cristo,Alexandre Dumas
1,0050,The Old Man and the Sea,Ernest Hemingway
1,0051,"The Lion, the Witch, and the Wardrobe",C.S. Lewis
1,0052,The Hunchback of Notre Dame,Victor Hugo
1,0053,Pinocchio,Carlo Collodi
0,0054,One Hundred Years of Solitude,Gabriel García Márquez
0,0055,Ivanhoe,Walter Scott
0,0056,The Red Badge of Courage,Stephen Crane
1,0057,Anne of Green Gables,L.M. Montgomery
1,0058,Black Beauty,Anna Sewell
1,0059,Peter Pan,J.M. Barrie
1,0060,A Farewell to Arms,Ernest Hemingway
1,0061,The House of the Seven Gables,Nathaniel Hawthorne
1,0062,Lord of the Flies,William Golding
1,0063,The Prince and the Pauper,Mark Twain
1,0064,A Portrait of the Artist as a Young Man,James Joyce
1,0065,Lord Jim,Joseph Conrad
0,0066,Harry Potter and the Chamber of Secrets,J.K. Rowling
1,0067,The Red & the Black,Stendhal
1,0068,The Stranger,Albert Camus
0,0069,The Trial,Franz Kafka
1,0070,Lady Chatterley's Lover,D.H. Lawrence
1,0071,Kidnapped: The Adventures of David Balfour,Robert Louis Stevenson
1,0072,The Catcher in the Rye,J.D. Salinger
1,0073,Fahrenheit 451,Ray Bradbury
0,0074,A Journey to the Center of the Earth,Jules Verne
0,0075,Vanity Fair,William Makepeace Thackeray
0,0076,All Quiet on the Western Front,Erich Maria Remarque
1,0077,Gone with the Wind,Margaret Mitchell
1,0078,My Ántonia,Willa Cather
1,0079,Of Mice and Men,John Steinbeck
1,0080,The Vicar of Wakefield,Oliver Goldsmith
1,0081,A Connecticut Yankee in King Arthur's Court,Mark Twain
1,0082,White Fang,Jack London
1,0083,Fathers and Sons,Ivan Sergeevich Turgenev
1,0084,Doctor Zhivago,Boris Leonidovich Pasternak
1,0085,The Decameron,Giovanni Boccaccio
0,0086,Nineteen Eighty-Four,George Orwell
1,0087,The Jungle,Upton Sinclair
1,0088,The Da Vinci Code,Dan Brown
0,0089,Persuasion,Jane Austen
1,0090,Mansfield Park,Jane Austen
1,0091,Candide,Voltaire
1,0092,For Whom the Bell Tolls,Ernest Hemingway
1,0093,Far from the Madding Crowd,Thomas Hardy
